Time Period,period start date,Patient Count,HCP ID,HCP Name,HCO Id,HCO Name,HCP Segment,HCO Segment,Line of therapy,payer segment,channel,HCO Territory,HCO Region,HCO Area,HCO Nation,claims count,New Prescriber Flag,Source_of_business,drug name,class,switch_from,switch_from_class
M1,6/1/2026,143,10092,Tyler Mitchell,2585,Nova,Segment 2,Tier 1,2L,Private,Hospital,Pennsylvania_East,Pennsylvania,East,US,411,Y,Switch,Skyrizi,IL-23,Stelara,IL-12/23
M1,6/1/2026,293,10116,Christina Morris,8806,Orion,Segment 1,Tier 3,2L,Private,Retail,Florida_West,Florida,West,US,564,N,Switch,Skyrizi,IL-23,Stelara,IL-12/23
M1,6/1/2026,335,10113,Leo Matthews,8806,Orion,Segment 3,Tier 1,2L,Medicaid,Retail,NorthCarolina_Central,NorthCarolina,South,US,611,N,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,136,10094,Caroline Morales,2585,Nova,Segment 1,Tier 4,3L+,Commercial,Retail,Virginia_North,Virginia,West,US,222,Y,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,470,10117,Alexander Washington,8806,Orion,Segment 3,Tier 2,3L+,Private,Retail,Virginia_South,Virginia,East,US,753,Y,Switch,Humira,TNF,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,359,10033,Stella Dunn,8629,Humira,Segment 2,Tier 4,2L,Commercial,Retail,Washington_State,Washington,West,US,655,N,Switch,BIMZLEX,IL-17A & IL-17F,ILUMYA,IL-23
M1,6/1/2026,236,10090,Brittany Parker,2585,Nova,Segment 4,Tier 2,2L,Commercial,Hospital,Texas_North,Texas,South,US,299,N,Switch,BIMZLEX,IL-17A & IL-17F,ILUMYA,IL-23
M1,6/1/2026,150,10035,Samantha Scott,8629,Humira,Segment 2,Tier 2,2L,Private,Hospital,Arizona_Phoenix,Arizona,West,US,263,N,Switch,Humira,TNF,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,83,10078,Nicole Edwards,1064,Zenith,Segment 1,Tier 4,3L+,Commercial,Retail,Colorado_Denver,Colorado,East,US,237,N,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,330,10164,Sean Carter,7184,Vertex,Segment 3,Tier 2,3L+,Medicaid,Online,Virginia_North,Virginia,North,US,405,N,Switch,Humira,TNF,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,120,10043,Lucas Price,8629,Humira,Segment 1,Tier 2,2L,Commercial,Online,Massachusetts_Boston,Massachusetts,East,US,315,Y,Switch,Skyrizi,IL-23,Stelara,IL-12/23
M1,6/1/2026,323,10087,Hunter Porter,1064,Zenith,Segment 2,Tier 1,3L+,Medicare,Online,California_South,California,West,US,438,N,Switch,Tremfya,IL-23,Skyrizi,IL-23
M1,6/1/2026,193,10073,Jordan Mills,1064,Zenith,Segment 4,Tier 3,3L+,Private,Online,Texas_South,Texas,East,US,311,Y,Switch,Tremfya,IL-23,Skyrizi,IL-23
M1,6/1/2026,236,10138,Isaac Fisher,2685,Helix,Segment 4,Tier 3,3L+,Commercial,Online,Georgia_Atlanta,Georgia,South,US,269,Y,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,88,10075,Vanessa Richardson,1064,Zenith,Segment 1,Tier 2,2L,Commercial,Hospital,California_North,California,South,US,178,N,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,371,10158,Lucas Jennings,7184,Vertex,Segment 2,Tier 3,3L+,Medicaid,Online,Texas_North,Texas,South,US,618,Y,Switch,Tremfya,IL-23,Skyrizi,IL-23
M1,6/1/2026,404,10115,Evan Daniels,8806,Orion,Segment 4,Tier 1,3L+,Medicare,Online,Ohio_Cleveland,Ohio,East,US,611,N,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,207,10067,Connor Robertson,5893,Apollo,Segment 2,Tier 3,3L+,Private,Hospital,Ohio_Cleveland,Ohio,South,US,461,N,Switch,BIMZLEX,IL-17A & IL-17F,ILUMYA,IL-23
M1,6/1/2026,398,10165,Victoria Gardner,7184,Vertex,Segment 4,Tier 3,3L+,Commercial,Online,Tennessee_Nashville,Tennessee,West,US,571,N,Switch,Skyrizi,IL-23,Stelara,IL-12/23
M1,6/1/2026,201,10166,Erin Ward,7184,Vertex,Segment 2,Tier 4,3L+,Commercial,Retail,Florida_West,Florida,South,US,469,Y,Switch,Tremfya,IL-23,Skyrizi,IL-23
M1,6/1/2026,118,10054,Dylan West,5893,Apollo,Segment 1,Tier 1,2L,Medicaid,Retail,Florida_West,Florida,West,US,390,N,Switch,Cosentyx,IL-17A,Tremfya,IL-23
M1,6/1/2026,467,10074,David Thompson,1064,Zenith,Segment 3,Tier 2,2L,Commercial,Online,Pennsylvania_East,Pennsylvania,East,US,629,N,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,337,10122,Gregory Cook,8806,Orion,Segment 3,Tier 1,2L,Medicaid,Online,Indiana_Indianapolis,Indiana,East,US,417,Y,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,370,10063,Shawn Cox,5893,Apollo,Segment 4,Tier 2,2L,Commercial,Retail,Michigan_Detroit,Michigan,East,US,483,Y,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,320,10088,Josiah Reyes,1064,Zenith,Segment 1,Tier 1,2L,Commercial,Hospital,Minnesota_TwinCities,Minnesota,West,US,347,Y,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,128,10165,Victoria Gardner,7184,Vertex,Segment 1,Tier 3,2L,Commercial,Retail,Massachusetts_Boston,Massachusetts,North,US,238,N,Switch,Cosentyx,IL-17A,Tremfya,IL-23
M1,6/1/2026,87,10004,Andrew Harris,3747,Athena,Segment 4,Tier 1,3L+,Medicaid,Retail,Florida_West,Florida,North,US,332,Y,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,496,10044,Eric Green,8629,Humira,Segment 2,Tier 4,3L+,Private,Online,Massachusetts_Boston,Massachusetts,North,US,675,Y,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,410,10108,Isaiah Mason,8806,Orion,Segment 4,Tier 3,2L,Commercial,Retail,Texas_North,Texas,South,US,442,Y,Switch,ILUMYA,IL-23,Skyrizi,IL-23
M1,6/1/2026,67,10094,Caroline Morales,2585,Nova,Segment 2,Tier 1,2L,Private,Hospital,Massachusetts_Boston,Massachusetts,South,US,180,N,Switch,Skyrizi,IL-23,Cosentyx,IL-17A
M1,6/1/2026,55,10091,Christopher Graham,2585,Nova,Segment 3,Tier 1,2L,Medicaid,Online,NewYork_Upstate,NewYork,South,US,271,N,Switch,Skyrizi,IL-23,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,296,10126,Leah Reynolds,8806,Orion,Segment 2,Tier 1,3L+,Medicaid,Online,Ohio_Cleveland,Ohio,West,US,344,N,Switch,Humira,TNF,Tremfya,IL-23
M1,6/1/2026,152,10047,Lillian Howell,5893,Apollo,Segment 3,Tier 3,3L+,Medicaid,Hospital,Missouri_StLouis,Missouri,North,US,214,N,Switch,Skyrizi,IL-23,Humira,TNF
M1,6/1/2026,207,10082,David Ford,1064,Zenith,Segment 4,Tier 4,2L,Medicaid,Online,NorthCarolina_Central,NorthCarolina,East,US,488,N,Switch,BIMZLEX,IL-17A & IL-17F,Humira,TNF
M1,6/1/2026,50,10031,Jeremiah Holmes,8629,Humira,Segment 3,Tier 1,2L,Medicaid,Retail,Pennsylvania_West,Pennsylvania,East,US,314,Y,Switch,ILUMYA,IL-23,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,370,10078,Nicole Edwards,1064,Zenith,Segment 4,Tier 3,2L,Medicare,Hospital,Massachusetts_Boston,Massachusetts,West,US,623,N,Switch,Humira,TNF,Stelara,IL-12/23
M1,6/1/2026,338,10119,Matthew Griffin,8806,Orion,Segment 1,Tier 3,3L+,Commercial,Online,Alabama_Birmingham,Alabama,North,US,390,N,Switch,Cosentyx,IL-17A,Tremfya,IL-23
M1,6/1/2026,117,10002,Amanda White,3747,Athena,Segment 4,Tier 1,2L,Private,Hospital,Pennsylvania_East,Pennsylvania,East,US,184,Y,Switch,Humira,TNF,Skyrizi,IL-23
M1,6/1/2026,454,10074,David Thompson,1064,Zenith,Segment 2,Tier 1,3L+,Private,Online,Pennsylvania_East,Pennsylvania,East,US,565,Y,Switch,Tremfya,IL-23,Stelara,IL-12/23
M1,6/1/2026,307,10034,Wyatt Pierce,8629,Humira,Segment 2,Tier 4,2L,Medicare,Online,Ohio_Cleveland,Ohio,East,US,471,Y,Switch,BIMZLEX,IL-17A & IL-17F,Stelara,IL-12/23
M1,6/1/2026,136,10123,Zachary Bell,8806,Orion,Segment 2,Tier 2,2L,Medicaid,Hospital,Minnesota_TwinCities,Minnesota,South,US,264,Y,Switch,Tremfya,IL-23,Stelara,IL-12/23
M1,6/1/2026,343,10126,Leah Reynolds,8806,Orion,Segment 1,Tier 4,2L,Commercial,Retail,Indiana_Indianapolis,Indiana,North,US,505,Y,Switch,ILUMYA,IL-23,Tremfya,IL-23
M1,6/1/2026,252,10074,David Thompson,1064,Zenith,Segment 1,Tier 1,2L,Private,Online,Ohio_Cleveland,Ohio,East,US,515,Y,Switch,Humira,TNF,Stelara,IL-12/23
M1,6/1/2026,178,10063,Shawn Cox,5893,Apollo,Segment 2,Tier 4,2L,Medicaid,Retail,Massachusetts_Boston,Massachusetts,North,US,394,N,Switch,ILUMYA,IL-23,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,455,10100,Levi Webb,2585,Nova,Segment 2,Tier 3,2L,Commercial,Online,California_South,California,West,US,694,Y,Switch,Skyrizi,IL-23,Humira,TNF
M1,6/1/2026,342,10079,Naomi Warren,1064,Zenith,Segment 1,Tier 1,3L+,Medicare,Retail,Texas_North,Texas,South,US,583,N,Switch,ILUMYA,IL-23,Stelara,IL-12/23
M1,6/1/2026,255,10093,Aurora Ellis,2585,Nova,Segment 1,Tier 1,2L,Medicare,Retail,NewYork_Upstate,NewYork,North,US,312,N,Switch,Skyrizi,IL-23,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,241,10125,Addison Gibson,8806,Orion,Segment 2,Tier 2,2L,Private,Hospital,Louisiana_NewOrleans,Louisiana,East,US,476,N,Switch,Cosentyx,IL-17A,ILUMYA,IL-23
M1,6/1/2026,369,10023,William Simmons,8629,Humira,Segment 3,Tier 3,2L,Private,Hospital,Louisiana_NewOrleans,Louisiana,South,US,506,Y,Switch,ILUMYA,IL-23,Tremfya,IL-23
M1,6/1/2026,269,10148,Henry Watson,2685,Helix,Segment 4,Tier 1,2L,Medicaid,Online,Missouri_StLouis,Missouri,East,US,349,Y,Switch,BIMZLEX,IL-17A & IL-17F,Humira,TNF
M1,6/1/2026,315,10097,Daniel Pierce,2585,Nova,Segment 2,Tier 2,3L+,Medicaid,Retail,Virginia_South,Virginia,North,US,472,N,Switch,ILUMYA,IL-23,Tremfya,IL-23
M1,6/1/2026,454,10051,Julian Duncan,5893,Apollo,Segment 1,Tier 2,2L,Medicare,Online,Michigan_Detroit,Michigan,North,US,530,Y,Switch,ILUMYA,IL-23,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,264,10073,Jordan Mills,1064,Zenith,Segment 2,Tier 4,2L,Commercial,Hospital,Minnesota_TwinCities,Minnesota,West,US,541,Y,Switch,BIMZLEX,IL-17A & IL-17F,Skyrizi,IL-23
M1,6/1/2026,150,10026,Nathan Payne,8629,Humira,Segment 2,Tier 1,3L+,Medicare,Hospital,California_North,California,North,US,356,N,Switch,BIMZLEX,IL-17A & IL-17F,Skyrizi,IL-23
M1,6/1/2026,117,10019,Logan Schultz,8629,Humira,Segment 2,Tier 3,2L,Medicare,Hospital,Louisiana_NewOrleans,Louisiana,North,US,338,Y,Switch,BIMZLEX,IL-17A & IL-17F,Cosentyx,IL-17A
M1,6/1/2026,465,10121,Kaylee Nichols,8806,Orion,Segment 4,Tier 4,2L,Medicaid,Retail,NewYork_Metro,NewYork,West,US,628,N,Switch,Stelara,IL-12/23,Tremfya,IL-23
M1,6/1/2026,152,10014,Logan Wood,3747,Athena,Segment 3,Tier 1,3L+,Commercial,Retail,Texas_South,Texas,South,US,402,Y,Switch,BIMZLEX,IL-17A & IL-17F,ILUMYA,IL-23
M1,6/1/2026,195,10028,Brandon Adams,8629,Humira,Segment 3,Tier 2,3L+,Medicare,Hospital,NewYork_Upstate,NewYork,North,US,451,Y,Switch,Cosentyx,IL-17A,Stelara,IL-12/23
M1,6/1/2026,79,10176,Lucy Knight,7184,Vertex,Segment 3,Tier 4,3L+,Private,Hospital,Georgia_Atlanta,Georgia,South,US,224,N,Switch,Cosentyx,IL-17A,ILUMYA,IL-23
M1,6/1/2026,109,10080,Stella Cruz,1064,Zenith,Segment 2,Tier 3,3L+,Medicare,Retail,Michigan_Detroit,Michigan,North,US,133,Y,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,145,10048,Nicholas Grant,5893,Apollo,Segment 2,Tier 1,2L,Commercial,Hospital,Arizona_Phoenix,Arizona,North,US,309,Y,Switch,Humira,TNF,Stelara,IL-12/23
M1,6/1/2026,481,10047,Lillian Howell,5893,Apollo,Segment 4,Tier 2,3L+,Private,Online,Louisiana_NewOrleans,Louisiana,North,US,696,Y,Switch,Humira,TNF,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,153,10078,Nicole Edwards,1064,Zenith,Segment 4,Tier 2,3L+,Medicare,Retail,Ohio_Cleveland,Ohio,North,US,306,N,Switch,BIMZLEX,IL-17A & IL-17F,Humira,TNF
M1,6/1/2026,236,10145,Ashley Thomas,2685,Helix,Segment 4,Tier 4,2L,Medicare,Retail,Alabama_Birmingham,Alabama,South,US,351,N,Switch,Skyrizi,IL-23,Stelara,IL-12/23
M1,6/1/2026,206,10054,Dylan West,5893,Apollo,Segment 1,Tier 4,2L,Private,Retail,NorthCarolina_Central,NorthCarolina,South,US,332,Y,Switch,Cosentyx,IL-17A,Tremfya,IL-23
M1,6/1/2026,211,10049,Harrison Knight,5893,Apollo,Segment 1,Tier 2,2L,Commercial,Online,Oregon_Portland,Oregon,North,US,359,Y,Switch,Humira,TNF,Cosentyx,IL-17A
M1,6/1/2026,264,10086,Sophia Garcia,1064,Zenith,Segment 1,Tier 3,2L,Private,Online,Pennsylvania_East,Pennsylvania,South,US,388,Y,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,182,10099,Kayla Gray,2585,Nova,Segment 2,Tier 2,2L,Medicaid,Hospital,Texas_North,Texas,North,US,265,N,Switch,Cosentyx,IL-17A,Tremfya,IL-23
M1,6/1/2026,58,10068,Heather Reed,5893,Apollo,Segment 1,Tier 4,2L,Commercial,Retail,Pennsylvania_East,Pennsylvania,East,US,303,Y,Switch,ILUMYA,IL-23,Skyrizi,IL-23
M1,6/1/2026,376,10053,Ethan Barrett,5893,Apollo,Segment 1,Tier 3,2L,Private,Online,Louisiana_NewOrleans,Louisiana,South,US,537,N,Switch,Skyrizi,IL-23,ILUMYA,IL-23
M1,6/1/2026,191,10082,David Ford,1064,Zenith,Segment 1,Tier 1,2L,Commercial,Retail,Illinois_Central,Illinois,East,US,253,Y,Switch,Skyrizi,IL-23,Cosentyx,IL-17A
M1,6/1/2026,83,10028,Brandon Adams,8629,Humira,Segment 1,Tier 1,3L+,Private,Hospital,Alabama_Birmingham,Alabama,South,US,274,N,Switch,Skyrizi,IL-23,Humira,TNF
M1,6/1/2026,163,10086,Sophia Garcia,1064,Zenith,Segment 3,Tier 4,3L+,Medicare,Hospital,California_North,California,East,US,185,N,Switch,ILUMYA,IL-23,Skyrizi,IL-23
M1,6/1/2026,204,10137,Hailey Jenkins,2685,Helix,Segment 3,Tier 1,3L+,Medicare,Hospital,Missouri_StLouis,Missouri,East,US,444,Y,Switch,Tremfya,IL-23,Cosentyx,IL-17A
M1,6/1/2026,256,10123,Zachary Bell,8806,Orion,Segment 3,Tier 4,3L+,Medicare,Hospital,Illinois_Central,Illinois,East,US,379,Y,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,286,10093,Aurora Ellis,2585,Nova,Segment 3,Tier 3,3L+,Medicaid,Retail,Arizona_Phoenix,Arizona,West,US,490,N,Switch,Humira,TNF,Tremfya,IL-23
M1,6/1/2026,372,10078,Nicole Edwards,1064,Zenith,Segment 1,Tier 3,3L+,Commercial,Retail,Nevada_LasVegas,Nevada,West,US,534,N,Switch,ILUMYA,IL-23,Humira,TNF
M1,6/1/2026,152,10141,Wyatt Gomez,2685,Helix,Segment 4,Tier 3,2L,Commercial,Online,Virginia_North,Virginia,West,US,353,Y,Switch,BIMZLEX,IL-17A & IL-17F,Cosentyx,IL-17A
M1,6/1/2026,156,10145,Ashley Thomas,2685,Helix,Segment 2,Tier 4,2L,Medicaid,Hospital,Colorado_Denver,Colorado,South,US,181,Y,Switch,BIMZLEX,IL-17A & IL-17F,Cosentyx,IL-17A
M1,6/1/2026,200,10047,Lillian Howell,5893,Apollo,Segment 3,Tier 2,2L,Commercial,Hospital,Tennessee_Nashville,Tennessee,North,US,410,Y,Switch,Tremfya,IL-23,Humira,TNF
M1,6/1/2026,271,10105,Mason Hughes,2585,Nova,Segment 4,Tier 1,2L,Medicaid,Online,NewYork_Metro,NewYork,North,US,384,N,Switch,BIMZLEX,IL-17A & IL-17F,Humira,TNF
M1,6/1/2026,460,10077,Angel Ortiz,1064,Zenith,Segment 3,Tier 4,2L,Private,Online,Texas_South,Texas,South,US,483,Y,Switch,BIMZLEX,IL-17A & IL-17F,Cosentyx,IL-17A
M1,6/1/2026,94,10146,James Anderson,2685,Helix,Segment 2,Tier 2,2L,Medicaid,Retail,Georgia_Atlanta,Georgia,West,US,122,N,Switch,Humira,TNF,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,203,10025,Jonathan Henry,8629,Humira,Segment 2,Tier 1,3L+,Medicaid,Online,Tennessee_Nashville,Tennessee,South,US,496,N,Switch,Stelara,IL-12/23,ILUMYA,IL-23
M1,6/1/2026,368,10045,Mark Lee,5893,Apollo,Segment 2,Tier 1,2L,Medicare,Retail,Illinois_Central,Illinois,West,US,482,N,Switch,Cosentyx,IL-17A,Humira,TNF
M1,6/1/2026,192,10028,Brandon Adams,8629,Humira,Segment 1,Tier 3,3L+,Medicare,Retail,Virginia_North,Virginia,East,US,226,Y,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,235,10035,Samantha Scott,8629,Humira,Segment 2,Tier 2,2L,Commercial,Retail,NewYork_Upstate,NewYork,West,US,329,N,Switch,Skyrizi,IL-23,Tremfya,IL-23
M1,6/1/2026,76,10075,Vanessa Richardson,1064,Zenith,Segment 1,Tier 1,3L+,Private,Retail,Virginia_South,Virginia,South,US,367,Y,Switch,BIMZLEX,IL-17A & IL-17F,Humira,TNF
M1,6/1/2026,120,10097,Daniel Pierce,2585,Nova,Segment 2,Tier 3,3L+,Private,Hospital,Colorado_Denver,Colorado,East,US,156,N,Switch,Stelara,IL-12/23,ILUMYA,IL-23
M1,6/1/2026,241,10153,Charlotte Patterson,7184,Vertex,Segment 3,Tier 1,2L,Medicaid,Retail,Washington_State,Washington,North,US,356,N,Switch,Cosentyx,IL-17A,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,116,10014,Logan Wood,3747,Athena,Segment 1,Tier 3,2L,Medicaid,Online,Georgia_Atlanta,Georgia,South,US,194,N,Switch,BIMZLEX,IL-17A & IL-17F,Stelara,IL-12/23
M1,6/1/2026,128,10091,Christopher Graham,2585,Nova,Segment 4,Tier 3,3L+,Medicare,Online,Illinois_Central,Illinois,East,US,182,Y,Switch,ILUMYA,IL-23,Stelara,IL-12/23
M1,6/1/2026,261,10172,Chloe Rhodes,7184,Vertex,Segment 1,Tier 1,3L+,Commercial,Hospital,Alabama_Birmingham,Alabama,East,US,396,Y,Switch,Stelara,IL-12/23,Humira,TNF
M1,6/1/2026,316,10132,Ella Sanders,8806,Orion,Segment 2,Tier 3,2L,Medicaid,Online,Minnesota_TwinCities,Minnesota,South,US,614,N,Switch,Skyrizi,IL-23,Cosentyx,IL-17A
M1,6/1/2026,307,10142,Bella Rose,2685,Helix,Segment 3,Tier 4,2L,Private,Online,Arizona_Phoenix,Arizona,East,US,391,Y,Switch,Stelara,IL-12/23,Cosentyx,IL-17A
M1,6/1/2026,264,10123,Zachary Bell,8806,Orion,Segment 1,Tier 4,3L+,Medicare,Retail,Indiana_Indianapolis,Indiana,West,US,489,Y,Switch,Cosentyx,IL-17A,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,209,10051,Julian Duncan,5893,Apollo,Segment 1,Tier 2,2L,Commercial,Hospital,Arizona_Phoenix,Arizona,East,US,468,N,Switch,Humira,TNF,Tremfya,IL-23
M1,6/1/2026,434,10092,Tyler Mitchell,2585,Nova,Segment 1,Tier 4,2L,Medicare,Online,Pennsylvania_East,Pennsylvania,East,US,545,Y,Switch,ILUMYA,IL-23,Skyrizi,IL-23
M1,6/1/2026,151,10111,Grace Oliver,8806,Orion,Segment 3,Tier 3,3L+,Private,Retail,Colorado_Denver,Colorado,West,US,376,N,Switch,Stelara,IL-12/23,ILUMYA,IL-23
M1,6/1/2026,415,10158,Lucas Jennings,7184,Vertex,Segment 4,Tier 4,3L+,Medicare,Hospital,Missouri_StLouis,Missouri,South,US,437,N,Switch,Cosentyx,IL-17A,Stelara,IL-12/23
M1,6/1/2026,333,10010,Zoey Hamilton,3747,Athena,Segment 3,Tier 3,3L+,Medicaid,Hospital,Pennsylvania_West,Pennsylvania,North,US,417,N,Switch,ILUMYA,IL-23,Skyrizi,IL-23
M1,6/1/2026,458,10020,Nora Jordan,8629,Humira,Segment 3,Tier 4,3L+,Medicare,Hospital,Illinois_Central,Illinois,North,US,716,Y,Switch,ILUMYA,IL-23,Stelara,IL-12/23
M1,6/1/2026,340,10075,Vanessa Richardson,1064,Zenith,Segment 1,Tier 2,3L+,Medicaid,Hospital,Pennsylvania_East,Pennsylvania,North,US,381,Y,Switch,Tremfya,IL-23,Humira,TNF
M1,6/1/2026,113,10178,Joseph Martinez,7184,Vertex,Segment 1,Tier 1,2L,Private,Online,NewYork_Upstate,NewYork,South,US,226,Y,Switch,ILUMYA,IL-23,Stelara,IL-12/23
M1,6/1/2026,384,10105,Mason Hughes,2585,Nova,Segment 1,Tier 2,2L,Private,Online,NorthCarolina_Central,NorthCarolina,South,US,470,Y,Switch,ILUMYA,IL-23,Cosentyx,IL-17A
M1,6/1/2026,454,10065,Grace Sullivan,5893,Apollo,Segment 1,Tier 3,2L,Medicaid,Hospital,Alabama_Birmingham,Alabama,North,US,661,N,Switch,Humira,TNF,ILUMYA,IL-23
M1,6/1/2026,471,10096,Christopher Miller,2585,Nova,Segment 2,Tier 1,2L,Medicaid,Online,NewYork_Upstate,NewYork,South,US,539,Y,Switch,Cosentyx,IL-17A,Skyrizi,IL-23
M1,6/1/2026,287,10170,Robert Hunt,7184,Vertex,Segment 2,Tier 2,3L+,Private,Hospital,Pennsylvania_East,Pennsylvania,North,US,414,N,Switch,Skyrizi,IL-23,Stelara,IL-12/23
M1,6/1/2026,209,10074,David Thompson,1064,Zenith,Segment 1,Tier 1,3L+,Commercial,Hospital,Pennsylvania_West,Pennsylvania,East,US,452,Y,Switch,Skyrizi,IL-23,BIMZLEX,IL-17A & IL-17F
M1,6/1/2026,71,10081,Daniel Moore,1064,Zenith,Segment 2,Tier 1,3L+,Private,Retail,NewYork_Metro,NewYork,East,US,96,Y,Switch,Cosentyx,IL-17A,Humira,TNF
M1,6/1/2026,413,10154,Sarah Taylor,7184,Vertex,Segment 4,Tier 4,3L+,Private,Online,Illinois_Central,Illinois,North,US,623,N,Switch,ILUMYA,IL-23,Stelara,IL-12/23
M1,6/1/2026,460,10015,Megan Lewis,3747,Athena,Segment 2,Tier 1,3L+,Medicaid,Online,Virginia_South,Virginia,West,US,752,N,Switch,Skyrizi,IL-23,ILUMYA,IL-23
